,par_idparcela,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,type,coordinates
1356,1203603-SANTIAGO,2305604701095006,URBANO,VAL. URBANO,EDIFICADO NoPH,MANZANA  31  LOTE  11,0000-054258/3,01-1901,03-2007,1.0,315.0,1653556.16,2023-11-01T00:00:00Z,0.0,600.0,189000.0,0,0,0.0,0,89.0,1464556.16,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541258,1005509,230505425834,2305,MultiPolygon,"[[[[4351066.97625992, 6515604.71091586], [4351067.9137539, 6515589.71095904], [4351075.8199813, 6515590.42970521], [4351107.72614015, 6515593.33593973], [4351106.78864617, 6515608.30464664], [4351066.97625992, 6515604.71091586]]]]"
1357,1200899-SANTIAGO,2305414801030004,URBANO,VAL. URBANO,BALDIO,MZ 23 LT 4,,01-1901,03-2007,0.9,140.0,81144.0,2023-11-01T00:00:00Z,0.0,644.0,81144.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,370833402,1003032,230517199601,2305,MultiPolygon,"[[[[4354634.93356937, 6512701.40541979], [4354634.52733054, 6512747.43653683], [4354620.52737075, 6512747.28029031], [4354620.96485949, 6512701.28042319], [4354628.93358659, 6512701.34292127], [4354634.93356937, 6512701.40541979]]]]"
1358,1200988-SANTIAGO,2305414801035009,URBANO,VAL. URBANO,BALDIO,MZ 18 LT 2,,01-1901,03-2007,1.0,595.0,364140.0,2023-11-01T00:00:00Z,0.0,612.0,364140.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,370867602,1003116,230517199899,2305,MultiPolygon,"[[[[4353965.65425668, 6512762.31163925], [4354000.84165387, 6512754.71790354], [4354004.43539716, 6512771.3428547], [4353969.24799997, 6512778.93659041], [4353965.65425668, 6512762.31163925]]]]"
1359,1202625-SANTIAGO,2305604701038022,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ H LT 15 PTE SUD,,01-1901,03-2007,1.1,595.0,3950067.94,2023-11-01T00:00:00Z,0.0,561.0,367174.5,0,0,0.0,0,233.0,3582893.44,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542130,1004596,230516717209,2305,MultiPolygon,"[[[[4351744.68346532, 6516585.92376059], [4351743.28703466, 6516602.3641292], [4351712.37550296, 6516611.66319987], [4351708.7193119, 6516596.82986615], [4351744.68346532, 6516585.92376059]]]]"
1360,1201923-SANTIAGO,2305414801143001,URBANO,VAL. URBANO,EDIFICADO NoPH,LTE.M,,01-1901,03-2007,1.1,2065.0,5556299.22,2024-04-26T00:00:00Z,0.0,1252.0,2843918.0,0,0,0.0,0,414.0,4741074.94,0,2,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,559153602,1004001,230512179881,2305,MultiPolygon,"[[[[4354313.71660251, 6516643.80033262], [4354300.15414099, 6516641.08159345], [4354292.74790524, 6516608.64418902], [4354317.09158602, 6516612.80042169], [4354313.71660251, 6516643.80033262]]]]"
1361,1202016-SANTIAGO,2305604701002012,URBANO,VAL. URBANO,EDIFICADO NoPH,001 012,,01-1901,03-2007,1.1,770.0,1326302.64,2023-11-01T00:00:00Z,0.0,594.0,503118.0,0,0,0.0,0,54.0,823184.64,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4540621,1004057,230531557323,2305,MultiPolygon,"[[[[4352083.41124809, 6517474.70527853], [4352089.06747532, 6517445.36161226], [4352112.62991179, 6517464.98655023], [4352095.56746531, 6517484.83024653], [4352083.41124809, 6517474.70527853]]]]"
1362,1204791-SANTIAGO,2305604702014002,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 29-LTE 13,00001091379,01-1901,03-2007,0.9,595.0,1687736.26,2023-11-01T00:00:00Z,0.0,1035.0,554242.5,0,0,0.0,0,176.0,1133493.76,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4540661,1006582,230510913791,2305,MultiPolygon,"[[[[4353304.53283437, 6517946.95364283], [4353314.62655631, 6517951.60987715], [4353312.62656613, 6517970.10982399], [4353312.81406949, 6517987.92227235], [4353293.25162757, 6517995.79725382], [4353282.00165367, 6517966.98483974], [4353304.53283437, 6517946.95364283]]]]"
1363,1205293-SANTIAGO,2305604702040002,URBANO,VAL. URBANO,BALDIO,MZ 3 LTE 11,00001091138,01-1901,03-2007,1.0,945.0,567000.0,2023-11-01T00:00:00Z,0.0,600.0,567000.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542878,1007052,230510911381,2305,MultiPolygon,"[[[[4353462.12603151, 6517495.20491688], [4353473.25099978, 6517496.61116038], [4353477.00098907, 6517497.04865829], [4353472.43851093, 6517536.8922939], [4353457.87605244, 6517534.9548027], [4353462.12603151, 6517495.20491688]]]]"
1364,1200289-SANTIAGO,2305414802020007,URBANO,VAL. URBANO,BALDIO,MZ 133  LT 9,    -      /,01-1997,03-2007,0.5,1855.0,1391250.0,2023-11-01T00:00:00Z,0.0,1500.0,1391250.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,1161577051,1002495,230522441606,2305,MultiPolygon,"[[[[4353889.49227172, 6516908.29319951], [4353861.85992293, 6516896.61515312], [4353881.97082199, 6516850.8379564], [4353909.60433872, 6516862.51651595], [4353889.49227172, 6516908.29319951]]]]"
1365,1200844-SANTIAGO,2305414801025010,URBANO,VAL. URBANO,BALDIO,MZ 7 LT 10,,01-1901,03-2007,0.9,140.0,80262.0,2023-11-01T00:00:00Z,0.0,637.0,80262.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493199,1002977,230517199376,2305,MultiPolygon,"[[[[4354874.33915407, 6512807.12381233], [4354860.33919429, 6512806.99881571], [4354860.77668315, 6512761.49894714], [4354874.77664294, 6512761.62394374], [4354874.33915407, 6512807.12381233]]]]"
1366,1201636-SANTIAGO,2305414801121024,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 27 LT C,00001719406,01-1995,03-2007,0.8,735.0,2021554.72,2023-11-01T00:00:00Z,0.0,1031.0,606228.0,0,0,0.0,0,105.0,1415326.72,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4492054,1003724,230517194064,2305,MultiPolygon,"[[[[4354097.3897623, 6516001.37290514], [4354110.32653869, 6515958.5543613], [4354131.94336288, 6515965.12673357], [4354119.60352273, 6516007.82021662], [4354097.3897623, 6516001.37290514]]]]"
1367,2054160-SANTIAGO,2305104601005057,URBANO,VAL. URBANO,BALDIO,MZ S/D  LT 59,0576-001889/2009,01-2010,04-2011,0.5,140.0,303590.0,2023-11-01T00:00:00Z,0.0,4337.0,303590.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,COPINA,92898168,1659530,230525045442,2305,MultiPolygon,"[[[[4338645.43156153, 6507179.6369323], [4338607.52514366, 6507185.47595528], [4338599.76146127, 6507205.5554707], [4338588.94435148, 6507196.82620179], [4338591.81531143, 6507125.38386428], [4338643.84500342, 6507087.26351339], [4338645.43156153, 6507179.6369323]]]]"
1368,1201473-SANTIAGO,2305414801091012,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ P LT 12,00000967087,01-1901,03-2007,0.8,420.0,1790891.42,2023-11-01T00:00:00Z,0.0,1424.0,478464.0,0,0,0.0,0,70.95,1312427.42,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,850886002,1003572,230509670876,2305,MultiPolygon,"[[[[4353036.59391768, 6510442.41229379], [4353056.31261557, 6510462.94348019], [4353020.18772691, 6510497.59963806], [4353000.46902901, 6510477.06845166], [4353036.59391768, 6510442.41229379]]]]"
1369,1202447-SANTIAGO,2305604701027014,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ B-LTE 4,00000319237,01-1901,03-2007,0.8,910.0,1723278.08,2023-11-01T00:00:00Z,0.0,1000.0,728000.0,0,0,0.0,0,118.0,995278.08,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542484,1004434,230503192379,2305,MultiPolygon,"[[[[4351666.06858849, 6516970.61308021], [4351710.88095489, 6516950.01937994], [4351711.66220303, 6516951.73812479], [4351719.22468501, 6516968.70682399], [4351674.34981879, 6516989.33177419], [4351666.06858849, 6516970.61308021]]]]"
1370,1204166-SANTIAGO,2305604701143011,URBANO,VAL. URBANO,EDIFICADO NoPH,LT 11,,01-1995,03-2007,0.6,665.0,2870285.76,2023-11-01T00:00:00Z,0.0,1560.0,622440.0,0,0,0.0,0,149.0,2247845.76,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,398412802,1006024,230522441223,2305,MultiPolygon,"[[[[4350894.16450757, 6516730.17644718], [4350912.60195292, 6516723.14521345], [4350941.66438588, 6516797.8637407], [4350923.25819048, 6516805.08247389], [4350894.16450757, 6516730.17644718]]]]"
1371,1201379-SANTIAGO,2305414801060006,URBANO,VAL. URBANO,BALDIO,048 011,,01-1901,03-2007,0.9,140.0,87444.0,2023-11-01T00:00:00Z,0.0,694.0,87444.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4492827,1003485,230531552135,2305,MultiPolygon,"[[[[4353610.53023111, 6512550.06233019], [4353608.12399128, 6512564.93728774], [4353562.43662481, 6512574.99976863], [4353559.40538053, 6512561.31230885], [4353610.53023111, 6512550.06233019]]]]"
1372,1202019-SANTIAGO,2305604701002015,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 1 LTE 15,,01-1901,03-2007,1.0,735.0,4157832.48,2023-11-01T00:00:00Z,0.0,732.0,538020.0,0,0,0.0,0,267.0,3619812.48,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4540617,1004060,230517164262,2305,MultiPolygon,"[[[[4352114.56739532, 6517415.67419262], [4352130.25484611, 6517397.42424201], [4352153.81728257, 6517417.04917999], [4352138.12983179, 6517435.2991306], [4352114.56739532, 6517415.67419262]]]]"
1373,1200213-SANTIAGO,2305104601004026,URBANO,VAL. URBANO,BALDIO,LTE 57,00000254981,01-1901,03-2007,0.6,140.0,158256.0,2023-11-01T00:00:00Z,0.0,1884.0,158256.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,COPINA,92898143,1002481,230502549818,2305,MultiPolygon,"[[[[4338702.83437266, 6507258.3699737], [4338628.83829563, 6507259.13193451], [4338616.49484031, 6507236.13521495], [4338705.47775492, 6507234.39139551], [4338700.99246597, 6507247.01843726], [4338702.83437266, 6507258.3699737]]]]"
1374,1203831-SANTIAGO,2305604701111008,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 2 LT 10,,01-1901,03-2007,0.7,245.0,257373.8,2023-11-01T00:00:00Z,0.0,1054.0,180761.0,0,0,0.0,0,30.0,76612.8,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541011,1005735,230517194587,2305,MultiPolygon,"[[[[4350723.94589857, 6515163.08726947], [4350737.28962176, 6515215.0871161], [4350721.35217036, 6515227.46208384], [4350706.0397011, 6515167.68101016], [4350723.94589857, 6515163.08726947]]]]"
1375,1988150-SANTIAGO,2305104601003075,URBANO,VAL. URBANO,BALDIO,MZ s/d   LT 3,0576-001222/2008,01-2009,10-2008,0.3,140.0,580062.0,2023-11-01T00:00:00Z,0.0,13811.0,580062.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,COPINA,92898009,1618507,230525033541,2305,MultiPolygon,"[[[[4338697.00717129, 6508247.9189383], [4338637.90080702, 6508228.38690815], [4338999.27448094, 6508128.21669983], [4339013.70816608, 6508170.73350513], [4338697.00717129, 6508247.9189383]]]]"
1376,1205270-SANTIAGO,2305604702038010,URBANO,VAL. URBANO,BALDIO,MZ 6 LTE 5,00001058118,01-1901,03-2007,0.9,945.0,680400.0,2023-11-01T00:00:00Z,0.0,800.0,680400.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,77559400,1007030,230510581186,2305,MultiPolygon,"[[[[4353638.37553992, 6517568.70466558], [4353658.31298304, 6517571.26715381], [4353653.06300684, 6517610.98578992], [4353648.03177117, 6517610.2670431], [4353633.15681359, 6517608.32955195], [4353638.37553992, 6517568.70466558]]]]"
1377,1200721-SANTIAGO,2305414801018001,URBANO,VAL. URBANO,BALDIO,011 009,,01-1901,03-2007,1.3,735.0,263517.35,2023-11-01T00:00:00Z,0.0,275.79,263517.35,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,1656225004,1002854,230531546542,2305,MultiPolygon,"[[[[4354212.97, 6512888.93], [4354233.59, 6512884.39], [4354233.77, 6512898.67], [4354215.9, 6512902.53], [4354212.97, 6512888.93]]]]"
1378,1205178-SANTIAGO,2305604702033011,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 22 LT 4,00001091254,01-1901,03-2007,1.0,770.0,1702732.88,2023-11-01T00:00:00Z,0.0,505.0,388850.0,0,0,0.0,0,82.0,1313882.88,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542818,1006947,230510912549,2305,MultiPolygon,"[[[[4353179.28308603, 6517448.83011297], [4353203.53302032, 6517467.67380309], [4353192.53305498, 6517481.29876604], [4353168.56436993, 6517462.64257531], [4353179.28308603, 6517448.83011297]]]]"
1379,1202770-SANTIAGO,2305604701046012,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 7 LOTE 11 PTE B,00000427135,01-1901,03-2007,0.8,840.0,10847082.12,2024-05-23T00:00:00Z,0.0,1926.0,1294272.0,0,0,0.0,0,1166.0,19914180.52,0,2,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541883,1004721,230504271353,2305,MultiPolygon,"[[[[4351424.50664603, 6516348.23993519], [4351471.03775541, 6516318.11501207], [4351477.41274277, 6516343.80243633], [4351426.06914321, 6516355.80241295], [4351424.50664603, 6516348.23993519]]]]"
1380,1204683-SANTIAGO,2305604702010017,URBANO,VAL. URBANO,BALDIO,MZ 39 LT 24,00000908337,01-1901,03-2007,1.0,595.0,328440.0,2023-11-01T00:00:00Z,0.0,552.0,328440.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4543236,1006484,230509083377,2305,MultiPolygon,"[[[[4352814.03424196, 6517921.73507324], [4352837.15917637, 6517926.4538045], [4352832.44044473, 6517948.1412427], [4352809.12801086, 6517943.4537614], [4352814.03424196, 6517921.73507324]]]]"
1381,1202825-SANTIAGO,2305604701048024,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 5-LTE 24,00001019177,01-1901,03-2007,0.6,770.0,3373883.52,2023-11-01T00:00:00Z,0.0,1464.0,676368.0,0,0,0.0,0,203.0,2697515.52,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542103,1004773,230510191779,2305,MultiPolygon,"[[[[4351051.47651157, 6516536.33322339], [4351062.10148441, 6516551.70817652], [4351039.00780449, 6516567.86438489], [4351004.72665851, 6516591.86432301], [4350991.41419403, 6516579.30186233], [4351051.47651157, 6516536.33322339]]]]"
1382,1203570-SANTIAGO,2305604701092011,URBANO,VAL. URBANO,EDIFICADO NoPH,M 32 - Lt 2,0000-000784/1947,01-1901,03-2007,1.0,315.0,3205950.72,2023-11-01T00:00:00Z,0.0,480.0,151200.0,0,0,0.0,0,168.0,3054750.72,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541312,1005476,230505020362,2305,MultiPolygon,"[[[[4351021.19515981, 6515686.42943958], [4351050.94507474, 6515688.86692593], [4351049.75758171, 6515704.83562999], [4351019.75766749, 6515702.36689379], [4351021.19515981, 6515686.42943958]]]]"
1383,1200044-SANTIAGO,2305002020068800,RURAL,VAL. RURAL,EDIFICADO NoPH,LT A 2,,01-1901,03-2007,,,22069117.22,2023-11-07T00:00:00Z,0.0,0.0,0.0,0,24107,7593705.0,0,728.0,14475412.22,0,1,PUNILLA,SANTIAGO,,778019031,1002433,230517113650,2305,MultiPolygon,"[[[[4354044.88944571, 6517562.7082388], [4353976.99004443, 6517616.4428942], [4353961.64149426, 6517598.13567956], [4353931.79318792, 6517459.99697897], [4353963.64204849, 6517454.5381074], [4354031.51673227, 6517425.14325242], [4354053.29780942, 6517470.14975938], [4354089.31397102, 6517452.74757262], [4354104.643262, 6517480.59668575], [4354044.88944571, 6517562.7082388]]]]"
1384,1203776-SANTIAGO,2305604701107007,URBANO,VAL. URBANO,BALDIO,MZ 19 LT 12,,01-1901,03-2007,0.9,175.0,110250.0,2023-11-01T00:00:00Z,0.0,700.0,110250.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541091,1005682,230517198892,2305,MultiPolygon,"[[[[4350883.19547728, 6515328.5555055], [4350918.07037758, 6515331.39923954], [4350916.44538669, 6515351.33668222], [4350881.57048638, 6515348.46169827], [4350883.19547728, 6515328.5555055]]]]"
1385,1202852-SANTIAGO,2305604701050003,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 2 LT 3,00000541270,01-1901,03-2007,0.7,665.0,2958746.11,2024-05-23T00:00:00Z,0.0,2400.0,1117200.0,0,0,0.0,0,338.0,4685999.55,0,2,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4540687,1004800,230505412708,2305,MultiPolygon,"[[[[4350711.22754644, 6516784.89507942], [4350689.47759657, 6516728.92649627], [4350708.2900409, 6516722.17651162], [4350729.94624096, 6516777.80134579], [4350711.22754644, 6516784.89507942]]]]"
1386,1203304-SANTIAGO,2305604701077013,URBANO,VAL. URBANO,BALDIO,M 11 LT 2,00000548250,01-1901,03-2007,0.9,420.0,294084.0,2023-11-01T00:00:00Z,0.0,778.0,294084.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541538,1005214,230505482501,2305,MultiPolygon,"[[[[4350766.28970997, 6515985.95987949], [4350791.1646382, 6515985.11612641], [4350811.1645805, 6515984.45987385], [4350812.38333166, 6516005.45981283], [4350779.50842652, 6516006.55356697], [4350766.28970997, 6515985.95987949]]]]"
1387,2577698-SANTIAGO,2305604701012016,URBANO,VAL. URBANO,BALDIO,LOTE 11 - MZ 13,0033-146651/2023,01-2024,01-2024,1.0,840.0,470232.0,2024-01-02T00:00:00Z,0.0,559.8,470232.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,1230289451,1945924,230543818203,2305,MultiPolygon,"[[[[4351827.19321049, 6517359.17441957], [4351852.91188373, 6517347.0181991], [4351861.69311265, 6517366.04939205], [4351835.59944037, 6517377.67436414], [4351827.19321049, 6517359.17441957]]]]"
1388,1201543-SANTIAGO,2305414801114003,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ A LT 3,,01-1901,03-2007,1.1,1855.0,2408949.4,2023-11-01T00:00:00Z,0.0,494.0,1008007.0,0,0,0.0,0,90.0,1400942.4,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4494058,1003639,230517138261,2305,MultiPolygon,"[[[[4354515.4972156, 6516388.42602835], [4354546.43462777, 6516394.33225453], [4354543.02839084, 6516409.269712], [4354509.24723674, 6516402.76973818], [4354515.4972156, 6516388.42602835]]]]"
1389,1200823-SANTIAGO,2305414801024015,URBANO,VAL. URBANO,BALDIO,008 001,,01-1901,03-2007,1.1,140.0,114422.0,2023-11-01T00:00:00Z,0.0,743.0,114422.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493259,1002956,230531547239,2305,MultiPolygon,"[[[[4354593.93371953, 6512849.90499944], [4354577.55876657, 6512849.74875344], [4354577.96500553, 6512804.37388452], [4354594.33995849, 6512804.53013051], [4354593.93371953, 6512849.90499944]]]]"
1390,1201740-SANTIAGO,2305414801127022,URBANO,VAL. URBANO,EDIFICADO PH,PH 1,,01-1986,03-2007,1.1,910.0,819289.64,2023-11-01T00:00:00Z,1.0,450.0,450450.0,0,0,0.0,0,142.0,1144343.04,0,2,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493951,1003826,230521500901,2305,MultiPolygon,"[[[[4353991.9674453, 6516259.42651591], [4354019.93611661, 6516267.9264852], [4354015.46738261, 6516282.27019464], [4354006.77990706, 6516279.61395422], [4354006.59240774, 6516280.27020236], [4353987.34246193, 6516274.55147312], [4353991.9674453, 6516259.42651591]]]]"
1391,1203349-SANTIAGO,2305604701081013,URBANO,VAL. URBANO,BALDIO,MZ 38-LTE 5,00000971900,01-1901,03-2007,1.0,595.0,357000.0,2023-11-01T00:00:00Z,0.0,600.0,357000.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541610,1005259,230509719000,2305,MultiPolygon,"[[[[4351266.78828621, 6516060.77205201], [4351267.28828622, 6516067.2720331], [4351268.31953624, 6516080.74074389], [4351238.41337282, 6516083.02199391], [4351236.8821228, 6516063.08455194], [4351266.78828621, 6516060.77205201]]]]"
1392,1200718-SANTIAGO,2305414801017018,URBANO,VAL. URBANO,BALDIO,012 008,,01-1901,03-2007,1.1,595.0,327904.5,2023-11-01T00:00:00Z,0.0,501.0,327904.5,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4493393,1002851,230531546518,2305,MultiPolygon,"[[[[4354105.21638383, 6512892.27998316], [4354112.27887066, 6512924.93613722], [4354097.62266348, 6512928.09238129], [4354090.56017665, 6512895.43622724], [4354105.21638383, 6512892.27998316]]]]"
1393,1203792-SANTIAGO,2305604701108006,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 5 LT 10,,01-1901,03-2007,0.9,175.0,3556609.56,2023-11-01T00:00:00Z,0.0,762.0,120015.0,0,0,0.0,0,189.0,3436594.56,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,1373415804,1005698,230517198931,2305,MultiPolygon,"[[[[4350763.38333677, 6515395.08658964], [4350760.78958981, 6515375.24289762], [4350800.38322719, 6515380.99287219], [4350802.97697414, 6515400.80531431], [4350763.38333677, 6515395.08658964]]]]"
1394,2557809-SANTIAGO,2305414801200126,URBANO,VAL. RURAL,BALDIO,LOTE 126,0033-142215/2023,01-2024,09-2023,1.0,0.0,61892.6,2023-11-07T00:00:00Z,0.0,0.0,0.0,0,32152,61892.6,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,1007880651,1934047,230543615248,2305,MultiPolygon,"[[[[4352894.8, 6513373.69], [4352846.9, 6513287.15], [4353128.21, 6513131.44], [4353161.06, 6513190.79], [4353174.77, 6513183.2], [4353182.09, 6513214.67], [4352894.8, 6513373.69]]]]"
1395,1205179-SANTIAGO,2305604702033012,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 22 LT 5,00001091255,01-1901,03-2007,1.1,735.0,2135598.36,2023-11-01T00:00:00Z,0.0,510.0,412335.0,0,0,0.0,0,91.0,1723263.36,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542827,1006948,230510912557,2305,MultiPolygon,"[[[[4353203.53302032, 6517467.67380309], [4353214.25173654, 6517454.42383913], [4353225.9704548, 6517463.61130996], [4353204.34552298, 6517490.48623686], [4353192.53305498, 6517481.29876604], [4353203.53302032, 6517467.67380309]]]]"
1396,1201220-SANTIAGO,2305414801049002,URBANO,VAL. URBANO,BALDIO,039 008,,01-1901,03-2007,1.1,140.0,108878.0,2023-11-01T00:00:00Z,0.0,707.0,108878.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4492739,1003332,230531550540,2305,MultiPolygon,"[[[[4354688.87087506, 6512520.87467988], [4354699.68333827, 6512494.59350349], [4354705.80831742, 6512479.68729525], [4354728.93325302, 6512489.2185127], [4354724.37076855, 6512500.31223161], [4354688.87087506, 6512520.87467988]]]]"
1397,2129197-SANTIAGO,2305414801030024,URBANO,VAL. URBANO,BALDIO,Mz. 23 Lt. 16,0576-005466/2013,01-2014,11-2013,1.0,140.0,76160.0,2023-11-01T00:00:00Z,0.0,544.0,76160.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,370834402,1721359,230540483812,2305,MultiPolygon,"[[[[4354676.93344871, 6512701.81165951], [4354662.93348892, 6512701.6866629], [4354660.93349467, 6512701.65541343], [4354661.27723629, 6512667.65551162], [4354677.27719033, 6512667.81175771], [4354676.93344871, 6512701.81165951]]]]"
1398,1202467-SANTIAGO,2305604701028016,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ.A LT.1-2 PTE.Y SPTE,00001531239,01-1901,03-2007,0.8,910.0,7410655.68,2023-11-01T00:00:00Z,0.0,1877.0,1366456.0,0,0,0.0,0,1393.0,6044199.68,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542410,1004452,230515312396,2305,MultiPolygon,"[[[[4351615.53745521, 6516840.70721746], [4351665.13106187, 6516838.17596382], [4351667.59980473, 6516838.05096364], [4351668.13105536, 6516847.83218522], [4351674.19372531, 6516848.04547246], [4351680.41057235, 6516871.99952814], [4351623.97493873, 6516875.95711354], [4351615.53745521, 6516840.70721746]]]]"
1399,1202780-SANTIAGO,2305604701047002,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 6 LT 2,0000-062975/7,01-1901,03-2007,0.7,910.0,4681463.6,2023-11-01T00:00:00Z,0.0,1286.0,819182.0,0,0,0.0,0,237.0,3862281.6,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542099,1004731,230506297571,2305,MultiPolygon,"[[[[4351216.50729856, 6516590.61427969], [4351188.60111699, 6516536.95819118], [4351207.41355979, 6516523.30197654], [4351229.91350884, 6516585.52054146], [4351216.50729856, 6516590.61427969]]]]"
1400,1202474-SANTIAGO,2305604701028023,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ A LT 6 A,,01-1901,03-2007,1.0,770.0,2445804.16,2023-11-01T00:00:00Z,0.0,376.0,289520.0,0,0,0.0,0,174.0,2156284.16,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542330,1004458,230516717764,2305,MultiPolygon,"[[[[4351701.03719203, 6516763.83242113], [4351706.50593009, 6516780.98862025], [4351710.78717025, 6516792.26983666], [4351702.84969411, 6516796.80107529], [4351699.00595549, 6516798.20732206], [4351689.19347703, 6516767.89491198], [4351701.03719203, 6516763.83242113]]]]"
