,par_idparcela,Nomenclatura,Tipo_Parcela,Tipo_Valuacion,Estado,desig_oficial,exp_creacion,Fecha_Creacion,fecha_alta_parcela,fxf,vut_vigente,Valuacion,vigencia_desde,porcentaje_copropiedad,Superficie_Tierra_Urbana,Valuacion_Tierra_Urbana,base_imponible_tierra_urbana,Superficie_Tierra_Rural,Valuacion_Tierra_Rural,base_imponible_tierra_rural,Superficie_Mejoras,Valuacion_Mejoras,base_imponible_mejoras,Cantidad_Cuentas,departamento,pedania,localidad,par_entityid,row_number,Nro_Cuenta,ped_nomenclatura,type,coordinates
10,1204590-SANTIAGO,2305604702005007,URBANO,VAL. URBANO,BALDIO,MZ 16 LTE 2,00001091219,01-1901,03-2007,0.9,735.0,687960.0,2023-11-01T00:00:00Z,0.0,1040.0,687960.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4543360,1006404,230510912191,2305,MultiPolygon,"[[[[4353451.46996391, 6518188.54666087], [4353468.65742171, 6518222.04656006], [4353445.75124044, 6518234.48402903], [4353428.18878355, 6518200.265382], [4353451.46996391, 6518188.54666087]]]]"
11,1202477-SANTIAGO,2305604701029001,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ P LTE 2/4,00000546067,01-1901,03-2007,1.0,910.0,2488437.12,2023-11-01T00:00:00Z,0.0,1176.0,1070160.0,0,0,0.0,0,78.0,1418277.12,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542424,1004461,230505460672,2305,MultiPolygon,"[[[[4351553.69388732, 6516858.9884282], [4351555.06888443, 6516863.80091397], [4351560.60012278, 6516883.08210693], [4351561.85012015, 6516887.45709398], [4351509.35027254, 6516892.98833958], [4351504.94403182, 6516877.61338505], [4351553.69388732, 6516858.9884282]]]]"
12,1203178-SANTIAGO,2305604701067016,URBANO,VAL. URBANO,EDIFICADO NoPH,Manzana 2 Lote 16,    -      /,01-1901,03-2007,0.9,490.0,2273303.42,2023-11-01T00:00:00Z,0.0,872.0,384552.0,0,0,0.0,0,118.0,1888751.42,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,1455676204,1005093,230531556025,2305,MultiPolygon,"[[[[4350499.2, 6516141.4], [4350481.60306478, 6516145.14698214], [4350466.54060884, 6516148.39697608], [4350466.44685499, 6516129.92827955], [4350510.41547635, 6516120.49079708], [4350516.79, 6516137.61], [4350499.2, 6516141.4]]]]"
13,1202724-SANTIAGO,2305604701044013,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ N LT 5,0000-044220/5,01-1901,03-2007,0.8,420.0,6181356.72,2023-11-01T00:00:00Z,0.0,1250.0,420000.0,0,0,0.0,0,407.0,5761356.72,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4540819,1004685,230504422050,2305,MultiPolygon,"[[[[4351992.848773, 6516406.7396404], [4352011.34871608, 6516390.20843418], [4352040.84863962, 6516428.45831697], [4352023.06744467, 6516445.95827023], [4351992.848773, 6516406.7396404]]]]"
14,1202895-SANTIAGO,2305604701050046,URBANO,VAL. URBANO,BALDIO,MZ 2 LTE 39,00000542960,01-1901,03-2007,0.6,665.0,600894.0,2023-11-01T00:00:00Z,0.0,1506.0,600894.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542159,1004839,230505429601,2305,MultiPolygon,"[[[[4350705.10252106, 6516591.89563945], [4350712.47750395, 6516610.42683417], [4350640.88396619, 6516637.89552058], [4350638.3839688, 6516617.36433056], [4350705.10252106, 6516591.89563945]]]]"
15,1201389-SANTIAGO,2305414801082002,URBANO,VAL. URBANO,BALDIO,MZ G LT 6,00000966761,01-1901,03-2007,0.7,420.0,369558.0,2023-11-01T00:00:00Z,0.0,1257.0,369558.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,SAN ANTONIO DE ARREDONDO,4492211,1003495,230509667611,2305,MultiPolygon,"[[[[4353155.8124403, 6510965.91075617], [4353202.99981408, 6511008.37937319], [4353189.74985537, 6511023.09808358], [4353142.56248158, 6510980.59821665], [4353155.8124403, 6510965.91075617]]]]"
16,1202517-SANTIAGO,2305604701032005,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ.E LOTE B,00001531259,01-1901,03-2007,0.9,910.0,1289009.32,2023-11-01T00:00:00Z,0.0,707.0,579033.0,0,0,0.0,0,112.0,709976.32,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4542336,1004498,230515312591,2305,MultiPolygon,"[[[[4351465.60037219, 6516774.30119284], [4351468.97536552, 6516788.01990238], [4351427.2879892, 6516804.51986384], [4351426.13174155, 6516800.14487676], [4351423.10049798, 6516789.80115737], [4351465.60037219, 6516774.30119284]]]]"
17,1995634-SANTIAGO,2305604701181012,URBANO,VAL. URBANO,EDIFICADO NoPH,Mz 181  Lt 12,0033-000666/2005,01-2008,02-2009,0.9,1260.0,2331436.8,2023-11-01T00:00:00Z,0.0,720.0,816480.0,0,0,0.0,0,80.0,1514956.8,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,24187800,1622822,230525686383,2305,MultiPolygon,"[[[[4353427.20708155, 6516843.72699203], [4353467.15622398, 6516841.71055478], [4353468.06362074, 6516859.68766887], [4353428.11447831, 6516861.70410612], [4353427.20708155, 6516843.72699203]]]]"
18,1203547-SANTIAGO,2305604701090019,URBANO,VAL. URBANO,EDIFICADO NoPH,MZ 14-LT 10 PTE,00000638805,01-1901,03-2007,1.1,350.0,1153000.24,2023-11-01T00:00:00Z,0.0,350.0,134750.0,0,0,0.0,0,56.0,1018250.24,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541390,1005453,230506388053,2305,MultiPolygon,"[[[[4350976.5390619, 6515792.52289252], [4350993.97651204, 6515793.92913459], [4350992.60152042, 6515813.86657721], [4350975.16407028, 6515812.46033515], [4350976.5390619, 6515792.52289252]]]]"
19,1203710-SANTIAGO,2305604701102002,URBANO,VAL. URBANO,BALDIO,MZ 41 LT 7,,01-1901,03-2007,0.8,245.0,194040.0,2023-11-01T00:00:00Z,0.0,990.0,194040.0,0,0,0.0,0,0.0,0.0,0,1,PUNILLA,SANTIAGO,VILLA ICHO CRUZ,4541217,1005616,230517196431,2305,MultiPolygon,"[[[[4351165.0384521, 6515489.11747854], [4351182.97590081, 6515490.58622031], [4351181.50715902, 6515508.52366875], [4351180.03841723, 6515526.46111719], [4351178.47592594, 6515545.39856275], [4351160.53847721, 6515543.92982096], [4351162.10096852, 6515524.99237541], [4351163.56971032, 6515507.05492697], [4351165.0384521, 6515489.11747854]]]]"
